Importance,Level,Job Zone,Code,Occupation
67,62,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
67,62,3,29-9093.00,Surgical Assistants
67,61,2,53-1041.00,Aircraft Cargo Handling Supervisors
67,61,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
67,61,3,47-4011.01,Energy Auditors
67,60,4,27-3031.00,Public Relations Specialists
67,60,3,47-2152.04,Solar Thermal Installers and Technicians
67,59,3,49-9062.00,Medical Equipment Repairers
67,59,3,29-2033.00,Nuclear Medicine Technologists
67,59,2,51-5112.00,Printing Press Operators
67,58,2,45-2011.00,Agricultural Inspectors
67,58,5,25-1113.00,"Social Work Teachers, Postsecondary"
67,57,2,33-9011.00,Animal Control Workers
67,57,4,27-4032.00,Film and Video Editors
67,56,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
67,56,2,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
67,37,1,47-2043.00,Floor Sanders and Finishers
66,67,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
66,65,3,17-3011.00,Architectural and Civil Drafters
66,64,3,29-2032.00,Diagnostic Medical Sonographers
66,64,4,29-1128.00,Exercise Physiologists
66,63,4,19-1031.00,Conservation Scientists
66,63,3,45-4011.00,Forest and Conservation Workers
66,62,3,53-2012.00,Commercial Pilots
66,61,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
66,60,3,27-4011.00,Audio and Video Technicians
66,60,4,11-2022.00,Sales Managers
66,60,4,11-3071.04,Supply Chain Managers
66,59,3,29-2081.00,"Opticians, Dispensing"
66,59,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
66,58,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
66,57,3,11-9171.00,Funeral Home Managers
66,57,4,11-9151.00,Social and Community Service Managers
66,56,3,31-9099.02,Endoscopy Technicians
66,56,3,33-2011.00,Firefighters
66,56,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
66,56,2,47-4099.03,Weatherization Installers and Technicians
66,55,3,29-2057.00,Ophthalmic Medical Technicians
66,55,2,43-5051.00,Postal Service Clerks
66,51,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
66,44,3,43-9031.00,Desktop Publishers
65,70,5,25-1112.00,"Law Teachers, Postsecondary"
65,68,5,29-1213.00,Dermatologists
65,64,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
65,64,2,47-5013.00,"Service Unit Operators, Oil and Gas"
65,62,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
65,62,4,13-1151.00,Training and Development Specialists
65,61,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
65,60,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
65,60,4,41-9031.00,Sales Engineers
65,59,4,27-1021.00,Commercial and Industrial Designers
65,59,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
65,59,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
65,59,4,11-3131.00,Training and Development Managers
65,58,3,27-4012.00,Broadcast Technicians
65,58,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
65,58,2,51-4192.00,"Layout Workers, Metal and Plastic"
65,57,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
65,57,4,27-2012.00,Producers and Directors
65,55,3,51-9161.00,Computer Numerically Controlled Tool Operators
65,54,2,31-1121.00,Home Health Aides
65,53,1,51-9022.00,"Grinding and Polishing Workers, Hand"
65,51,3,49-9071.00,"Maintenance and Repair Workers, General"
65,51,2,51-9111.00,Packaging and Filling Machine Operators and Tenders
65,51,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
65,50,2,47-2231.00,Solar Photovoltaic Installers
65,49,3,51-7032.00,"Patternmakers, Wood"
64,69,5,29-1024.00,Prosthodontists
