Importance,Level,Job Zone,Code,Occupation
82,52,2,51-3092.00,Food Batchmakers
81,78,4,17-2061.00,Computer Hardware Engineers
81,78,5,25-1067.00,"Sociology Teachers, Postsecondary"
81,77,4,27-2032.00,Choreographers
81,76,5,25-9021.00,Farm and Home Management Educators
81,75,4,17-2141.02,Automotive Engineers
81,75,5,25-1064.00,"Geography Teachers, Postsecondary"
81,74,4,11-2011.00,Advertising and Promotions Managers
81,74,5,29-1211.00,Anesthesiologists
81,74,4,17-2112.03,Manufacturing Engineers
81,74,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
81,72,3,35-1011.00,Chefs and Head Cooks
81,72,4,15-1299.02,Geographic Information Systems Technologists and Technicians
81,72,4,27-1025.00,Interior Designers
81,71,5,29-1141.02,Advanced Practice Psychiatric Nurses
81,71,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
81,70,5,17-1011.00,"Architects, Except Landscape and Naval"
81,69,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
81,68,4,15-1211.00,Computer Systems Analysts
81,68,4,13-1051.00,Cost Estimators
81,68,5,19-1022.00,Microbiologists
81,67,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
81,66,4,13-2041.00,Credit Analysts
81,65,4,19-4092.00,Forensic Science Technicians
81,65,3,19-4071.00,Forest and Conservation Technicians
81,64,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
81,64,3,27-4014.00,Sound Engineering Technicians
81,63,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
81,57,2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
81,57,2,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
81,55,2,39-2021.00,Animal Caretakers
81,54,2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
81,54,2,43-6013.00,Medical Secretaries and Administrative Assistants
81,52,2,31-1122.00,Personal Care Aides
81,50,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
80,80,5,19-1041.00,Epidemiologists
80,76,3,53-2021.00,Air Traffic Controllers
80,76,5,19-1013.00,Soil and Plant Scientists
80,75,4,17-2031.00,Bioengineers and Biomedical Engineers
80,74,5,25-4011.00,Archivists
80,74,4,11-3051.03,Biofuels Production Managers
80,72,4,21-2021.00,"Directors, Religious Activities and Education"
80,72,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
80,72,5,19-3034.00,School Psychologists
80,71,5,11-3031.03,Investment Fund Managers
80,70,4,27-2012.00,Producers and Directors
80,69,4,15-2051.02,Clinical Data Managers
80,69,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
80,69,4,13-1131.00,Fundraisers
80,69,5,21-1013.00,Marriage and Family Therapists
80,68,5,29-9099.01,Midwives
80,67,3,49-3011.00,Aircraft Mechanics and Service Technicians
80,67,4,11-3051.00,Industrial Production Managers
80,67,4,29-2011.00,Medical and Clinical Laboratory Technologists
80,65,4,19-1031.00,Conservation Scientists
80,65,4,29-1141.03,Critical Care Nurses
80,65,3,29-2099.01,Neurodiagnostic Technologists
80,64,3,15-1232.00,Computer User Support Specialists
80,64,3,27-1022.00,Fashion Designers
80,63,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
80,63,3,19-4013.00,Food Science Technicians
80,62,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
80,62,3,29-2034.00,Radiologic Technologists and Technicians
80,61,3,51-6092.00,Fabric and Apparel Patternmakers
80,60,3,39-9041.00,Residential Advisors
80,59,3,13-1041.00,Compliance Officers
80,59,2,43-4051.00,Customer Service Representatives
80,59,2,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
80,55,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
80,55,2,47-2151.00,Pipelayers
80,52,2,43-4171.00,Receptionists and Information Clerks
80,51,2,39-3092.00,Costume Attendants
79,76,4,15-1241.00,Computer Network Architects
79,75,5,25-1122.00,"Communications Teachers, Postsecondary"
79,74,4,13-1081.01,Logistics Engineers
79,72,4,17-2072.01,Radio Frequency Identification Device Specialists
79,71,4,11-3031.00,Financial Managers
79,71,5,29-1171.00,Nurse Practitioners
79,70,3,13-1041.06,Coroners
79,70,4,27-2012.05,Media Technical Directors/Managers
79,70,5,21-1014.00,Mental Health Counselors
79,70,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
79,69,4,15-1231.00,Computer Network Support Specialists
79,69,5,19-2032.00,Materials Scientists
79,69,1,51-9123.00,"Painting, Coating, and Decorating Workers"
79,69,3,49-9081.00,Wind Turbine Service Technicians
79,68,4,27-3041.00,Editors
79,68,2,17-3029.01,Non-Destructive Testing Specialists
79,68,3,47-2022.00,Stonemasons
79,67,4,19-1032.00,Foresters
79,66,2,49-9096.00,Riggers
