Importance,Level,Job Zone,Code,Occupation
72,72,4,17-2112.03,Manufacturing Engineers
72,72,4,17-2199.05,Mechatronics Engineers
72,71,4,13-2031.00,Budget Analysts
72,71,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
72,70,5,29-1211.00,Anesthesiologists
72,70,2,47-5013.00,"Service Unit Operators, Oil and Gas"
72,70,4,53-6051.00,Transportation Inspectors
72,69,4,15-1299.01,Web Administrators
72,68,5,29-1181.00,Audiologists
72,67,3,47-2011.00,Boilermakers
72,67,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
72,67,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
72,67,2,51-9151.00,Photographic Process Workers and Processing Machine Operators
72,66,4,29-1129.02,Music Therapists
72,65,2,43-6013.00,Medical Secretaries and Administrative Assistants
72,64,2,49-3021.00,Automotive Body and Related Repairers
72,64,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
72,63,3,31-2012.00,Occupational Therapy Aides
72,63,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
72,56,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
71,78,4,17-2041.00,Chemical Engineers
71,76,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
71,75,4,19-1012.00,Food Scientists and Technologists
71,75,4,11-9121.02,Water Resource Specialists
71,73,5,25-1122.00,"Communications Teachers, Postsecondary"
71,72,5,19-2099.01,Remote Sensing Scientists and Technologists
71,71,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
71,71,2,43-3051.00,Payroll and Timekeeping Clerks
71,69,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
71,69,3,29-2056.00,Veterinary Technologists and Technicians
71,68,4,11-3051.00,Industrial Production Managers
71,68,4,27-3023.00,"News Analysts, Reporters, and Journalists"
71,67,3,51-9162.00,Computer Numerically Controlled Tool Programmers
71,66,4,19-2031.00,Chemists
71,66,2,43-9021.00,Data Entry Keyers
71,65,5,19-3093.00,Historians
71,64,5,29-1024.00,Prosthodontists
71,64,2,23-2093.00,"Title Examiners, Abstractors, and Searchers"
71,64,2,47-4099.03,Weatherization Installers and Technicians
71,64,2,53-7073.00,Wellhead Pumpers
71,63,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
71,63,3,51-7031.00,"Model Makers, Wood"
71,62,2,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
71,62,3,47-2111.00,Electricians
71,61,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
71,59,2,47-2031.00,Carpenters
70,79,5,19-2043.00,Hydrologists
70,78,5,23-1011.00,Lawyers
70,77,3,19-5012.00,Occupational Health and Safety Technicians
70,76,4,11-3111.00,Compensation and Benefits Managers
70,74,4,15-1253.00,Software Quality Assurance Analysts and Testers
70,73,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
70,73,5,25-1125.00,"History Teachers, Postsecondary"
70,73,5,25-4022.00,Librarians and Media Collections Specialists
70,73,4,27-2041.00,Music Directors and Composers
70,73,5,25-1065.00,"Political Science Teachers, Postsecondary"
70,72,5,15-2031.00,Operations Research Analysts
70,72,5,29-1241.00,"Ophthalmologists, Except Pediatric"
70,72,4,19-4061.00,Social Science Research Assistants
70,71,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
70,71,4,15-1299.03,Document Management Specialists
70,71,4,19-1031.03,Park Naturalists
70,71,2,51-9141.00,Semiconductor Processing Technicians
70,69,5,29-1023.00,Orthodontists
70,68,2,47-2021.00,Brickmasons and Blockmasons
70,68,3,27-4014.00,Sound Engineering Technicians
70,67,3,19-4012.00,Agricultural Technicians
70,67,2,41-2022.00,Parts Salespersons
70,67,5,29-1051.00,Pharmacists
70,66,4,19-4021.00,Biological Technicians
70,66,5,29-1224.00,Radiologists
70,65,5,29-1213.00,Dermatologists
70,65,2,43-4071.00,File Clerks
70,65,4,41-9021.00,Real Estate Brokers
70,65,2,51-6051.00,"Sewers, Hand"
70,64,3,13-1041.08,Customs Brokers
70,64,4,13-1041.01,Environmental Compliance Inspectors
70,62,3,49-2097.00,Audiovisual Equipment Installers and Repairers
70,61,3,13-1041.00,Compliance Officers
70,61,3,33-9021.00,Private Detectives and Investigators
70,60,4,29-2011.01,Cytogenetic Technologists
70,58,1,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
70,56,2,51-9197.00,Tire Builders
69,79,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
69,75,5,19-3041.00,Sociologists
69,73,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
69,71,4,15-1211.00,Computer Systems Analysts
69,71,4,15-1299.02,Geographic Information Systems Technologists and Technicians
69,70,4,17-2112.00,Industrial Engineers
69,69,3,15-1232.00,Computer User Support Specialists
69,69,5,17-2199.06,Microsystems Engineers
69,69,3,17-3024.01,Robotics Technicians
69,68,4,15-1231.00,Computer Network Support Specialists
69,68,3,27-1012.00,Craft Artists
69,68,4,19-4012.01,Precision Agriculture Technicians
69,68,2,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
69,67,3,27-4012.00,Broadcast Technicians
69,67,5,29-1011.00,Chiropractors
69,67,4,19-1031.00,Conservation Scientists
69,67,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
69,67,2,43-4051.00,Customer Service Representatives
69,67,3,29-2055.00,Surgical Technologists
69,67,4,17-2199.10,Wind Energy Engineers
69,66,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
69,66,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
69,65,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
69,63,3,27-3092.00,Court Reporters and Simultaneous Captioners
69,62,4,17-1021.00,Cartographers and Photogrammetrists
69,62,3,51-5111.00,Prepress Technicians and Workers
69,59,2,51-9081.00,Dental Laboratory Technicians
69,59,5,25-1063.00,"Economics Teachers, Postsecondary"
69,59,2,27-1023.00,Floral Designers
69,58,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
69,58,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
69,57,3,31-9094.00,Medical Transcriptionists
69,53,2,35-2012.00,"Cooks, Institution and Cafeteria"
68,75,5,19-2012.00,Physicists
68,72,4,15-1243.01,Data Warehousing Specialists
68,72,5,19-3092.00,Geographers
68,72,4,11-3051.01,Quality Control Systems Managers
68,71,5,29-1299.01,Naturopathic Physicians
68,70,3,51-4062.00,"Patternmakers, Metal and Plastic"
68,69,3,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
68,69,3,17-3026.00,Industrial Engineering Technologists and Technicians
68,69,5,19-3034.00,School Psychologists
68,68,4,15-2099.01,Bioinformatics Technicians
68,68,1,47-2051.00,Cement Masons and Concrete Finishers
68,68,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
68,68,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
68,65,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
68,64,3,35-2013.00,"Cooks, Private Household"
68,64,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
68,64,4,17-1022.01,Geodetic Surveyors
68,64,3,19-4051.02,Nuclear Monitoring Technicians
68,63,4,13-2023.00,Appraisers and Assessors of Real Estate
68,62,4,27-1021.00,Commercial and Industrial Designers
68,62,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
68,62,3,51-7032.00,"Patternmakers, Wood"
68,62,5,25-9044.00,"Teaching Assistants, Postsecondary"
68,61,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
68,60,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
68,60,2,51-9194.00,Etchers and Engravers
68,59,2,39-3092.00,Costume Attendants
68,58,3,39-4011.00,Embalmers
68,58,2,47-2053.00,Terrazzo Workers and Finishers
68,57,2,31-1133.00,Psychiatric Aides
68,56,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
67,75,4,15-1243.00,Database Architects
67,73,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
67,72,4,15-2011.00,Actuaries
67,72,4,17-2071.00,Electrical Engineers
67,71,2,49-3091.00,Bicycle Repairers
67,71,5,19-3094.00,Political Scientists
67,69,3,33-3051.00,Police and Sheriff's Patrol Officers
67,69,4,27-2012.04,Talent Directors
67,68,5,15-1221.00,Computer and Information Research Scientists
67,68,4,15-1212.00,Information Security Analysts
67,67,4,27-3041.00,Editors
67,67,5,29-1123.00,Physical Therapists
67,66,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
67,65,3,33-3011.00,Bailiffs
67,65,4,29-1128.00,Exercise Physiologists
67,65,3,51-9082.00,Medical Appliance Technicians
67,65,3,29-1124.00,Radiation Therapists
67,64,2,39-4021.00,Funeral Attendants
67,63,3,49-3011.00,Aircraft Mechanics and Service Technicians
67,62,2,47-5081.00,Helpers--Extraction Workers
67,62,4,41-3021.00,Insurance Sales Agents
67,62,2,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
67,61,3,17-3011.00,Architectural and Civil Drafters
67,61,3,17-3012.00,Electrical and Electronics Drafters
67,61,3,29-2033.00,Nuclear Medicine Technologists
67,59,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
67,59,2,47-2221.00,Structural Iron and Steel Workers
67,56,2,31-1121.00,Home Health Aides
67,56,2,47-2231.00,Solar Photovoltaic Installers
67,55,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
67,54,2,49-3043.00,Rail Car Repairers
67,53,3,31-2021.00,Physical Therapist Assistants
67,52,2,43-4171.00,Receptionists and Information Clerks
67,47,2,53-3031.00,Driver/Sales Workers
66,73,5,19-2011.00,Astronomers
66,73,4,15-1241.00,Computer Network Architects
66,72,5,25-1052.00,"Chemistry Teachers, Postsecondary"
66,72,4,17-2112.02,Validation Engineers
66,70,5,29-1022.00,Oral and Maxillofacial Surgeons
66,70,4,19-4099.03,Remote Sensing Technicians
66,67,4,13-2071.00,Credit Counselors
66,66,3,43-3061.00,Procurement Clerks
66,64,5,29-1041.00,Optometrists
66,63,3,49-2091.00,Avionics Technicians
66,63,3,49-9063.00,Musical Instrument Repairers and Tuners
66,62,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
66,61,4,13-2041.00,Credit Analysts
66,61,5,29-1223.00,Psychiatrists
66,61,5,29-1229.03,Urologists
66,59,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
