Importance,Job Zone,Code,Occupation
81,4,13-1199.05,Sustainability Specialists
80,2,53-6031.00,Automotive and Watercraft Service Attendants
80,3,53-6051.01,Aviation Inspectors
80,5,29-1011.00,Chiropractors
80,3,29-2051.00,Dietetic Technicians
80,4,15-1299.03,Document Management Specialists
80,5,11-9033.00,"Education Administrators, Postsecondary"
80,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
80,4,17-2081.00,Environmental Engineers
80,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
80,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
80,3,11-3051.06,Hydroelectric Production Managers
80,2,49-9094.00,Locksmiths and Safe Repairers
80,5,21-1013.00,Marriage and Family Therapists
80,5,11-9111.00,Medical and Health Services Managers
80,3,49-9062.00,Medical Equipment Repairers
80,3,29-2099.01,Neurodiagnostic Technologists
80,5,29-1161.00,Nurse Midwives
80,5,29-1299.02,Orthoptists
80,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
80,3,53-6041.00,Traffic Technicians
79,5,29-1181.00,Audiologists
79,4,15-2099.01,Bioinformatics Technicians
79,4,27-1021.00,Commercial and Industrial Designers
79,3,53-2012.00,Commercial Pilots
79,3,39-6012.00,Concierges
79,4,29-2011.01,Cytogenetic Technologists
79,5,29-2011.02,Cytotechnologists
79,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
79,3,47-2111.00,Electricians
79,5,25-9021.00,Farm and Home Management Educators
79,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
79,4,25-4013.00,Museum Technicians and Conservators
79,3,51-8011.00,Nuclear Power Reactor Operators
79,3,33-3021.02,Police Identification and Records Officers
79,3,33-9021.00,Private Detectives and Investigators
79,2,33-9099.02,Retail Loss Prevention Specialists
79,4,11-2022.00,Sales Managers
79,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
79,4,11-9151.00,Social and Community Service Managers
79,2,49-9052.00,Telecommunications Line Installers and Repairers
79,3,15-1254.00,Web Developers
78,3,29-1141.01,Acute Care Nurses
78,3,17-3027.01,Automotive Engineering Technicians
78,4,19-4021.00,Biological Technicians
78,4,15-2051.02,Clinical Data Managers
78,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
78,3,33-2021.00,Fire Inspectors and Investigators
78,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
78,3,33-1012.00,First-Line Supervisors of Police and Detectives
78,5,29-9092.00,Genetic Counselors
78,4,11-3121.00,Human Resources Managers
78,5,25-9031.00,Instructional Coordinators
78,3,51-9071.00,Jewelers and Precious Stone and Metal Workers
78,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
