Context,Job Zone,Code,Occupation
74,2,49-3093.00,Tire Repairers and Changers
74,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
74,2,53-7073.00,Wellhead Pumpers
73,5,29-1291.00,Acupuncturists
73,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
73,4,27-2032.00,Choreographers
73,4,17-2051.00,Civil Engineers
73,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
73,4,19-1031.00,Conservation Scientists
73,4,25-2021.00,"Elementary School Teachers, Except Special Education"
73,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
73,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
73,3,51-8092.00,Gas Plant Operators
73,4,13-2053.00,Insurance Underwriters
73,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
73,4,13-1075.00,Labor Relations Specialists
73,3,49-9071.00,"Maintenance and Repair Workers, General"
73,5,13-1111.00,Management Analysts
73,2,51-9111.00,Packaging and Filling Machine Operators and Tenders
73,2,43-3051.00,Payroll and Timekeeping Clerks
73,4,21-1015.00,Rehabilitation Counselors
73,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
72,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
72,2,39-2021.00,Animal Caretakers
72,2,49-3021.00,Automotive Body and Related Repairers
72,3,43-4011.00,Brokerage Clerks
72,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
72,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
72,4,17-2072.00,"Electronics Engineers, Except Computer"
72,3,31-9099.02,Endoscopy Technicians
72,2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
72,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
72,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
72,2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
72,4,15-1211.01,Health Informatics Specialists
72,5,21-1022.00,Healthcare Social Workers
72,4,17-2112.00,Industrial Engineers
72,5,25-1112.00,"Law Teachers, Postsecondary"
72,4,17-2141.00,Mechanical Engineers
72,3,51-9082.00,Medical Appliance Technicians
72,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
72,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
72,2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
72,2,41-2022.00,Parts Salespersons
72,3,51-7032.00,"Patternmakers, Wood"
72,2,51-8013.00,Power Plant Operators
72,3,41-3041.00,Travel Agents
71,3,11-3012.00,Administrative Services Managers
71,5,19-1011.00,Animal Scientists
71,2,53-6011.00,Bridge and Lock Tenders
71,2,41-2011.00,Cashiers
71,4,21-1094.00,Community Health Workers
71,2,47-5041.00,Continuous Mining Machine Operators
71,3,13-1041.06,Coroners
71,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
71,4,17-2071.00,Electrical Engineers
71,2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
71,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
71,3,17-3027.00,Mechanical Engineering Technologists and Technicians
71,4,27-2012.03,Media Programming Directors
71,5,19-1022.00,Microbiologists
71,3,43-4141.00,New Accounts Clerks
71,2,33-3041.00,Parking Enforcement Workers
71,2,47-2151.00,Pipelayers
71,2,49-3092.00,Recreational Vehicle Service Technicians
71,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
71,2,47-2211.00,Sheet Metal Workers
71,3,49-9097.00,Signal and Track Switch Repairers
71,2,47-2044.00,Tile and Stone Setters
71,3,51-4111.00,Tool and Die Makers
71,3,53-6041.00,Traffic Technicians
71,4,11-9199.10,Wind Energy Development Managers
70,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
70,5,25-1042.00,"Biological Science Teachers, Postsecondary"
70,5,25-4012.00,Curators
70,3,51-6092.00,Fabric and Apparel Patternmakers
70,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
70,4,15-1299.09,Information Technology Project Managers
70,2,53-3033.00,Light Truck Drivers
70,4,13-1081.00,Logisticians
70,3,49-9062.00,Medical Equipment Repairers
70,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
70,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
70,3,53-5031.00,Ship Engineers
70,2,47-2221.00,Structural Iron and Steel Workers
70,4,27-3043.00,Writers and Authors
69,2,51-7011.00,Cabinetmakers and Bench Carpenters
69,4,17-1021.00,Cartographers and Photogrammetrists
69,1,47-2051.00,Cement Masons and Concrete Finishers
69,2,51-9011.00,Chemical Equipment Operators and Tenders
69,3,19-4031.00,Chemical Technicians
69,5,25-1052.00,"Chemistry Teachers, Postsecondary"
69,4,15-1231.00,Computer Network Support Specialists
69,3,15-1232.00,Computer User Support Specialists
69,2,47-2061.00,Construction Laborers
69,1,35-2011.00,"Cooks, Fast Food"
69,2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
69,4,15-1243.00,Database Architects
69,2,53-7031.00,Dredge Operators
69,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
69,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
69,5,25-9021.00,Farm and Home Management Educators
69,5,29-9092.00,Genetic Counselors
69,2,49-9099.01,Geothermal Technicians
69,2,47-3013.00,Helpers--Electricians
69,2,47-3016.00,Helpers--Roofers
69,2,47-4051.00,Highway Maintenance Workers
69,4,33-3021.06,Intelligence Analysts
69,5,17-2199.06,Microsystems Engineers
69,2,43-9061.00,"Office Clerks, General"
69,5,29-1299.02,Orthoptists
69,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
69,2,51-5113.00,Print Binding and Finishing Workers
69,2,51-5112.00,Printing Press Operators
69,3,43-5061.00,"Production, Planning, and Expediting Clerks"
69,4,11-3061.00,Purchasing Managers
69,3,29-2034.00,Radiologic Technologists and Technicians
69,4,13-1161.01,Search Marketing Strategists
69,5,29-1127.00,Speech-Language Pathologists
68,4,13-2023.00,Appraisers and Assessors of Real Estate
68,4,19-2021.00,Atmospheric and Space Scientists
68,2,51-3011.00,Bakers
68,5,19-1021.00,Biochemists and Biophysicists
68,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
68,4,19-2031.00,Chemists
68,4,11-9121.01,Clinical Research Coordinators
68,4,15-1211.00,Computer Systems Analysts
68,3,27-2031.00,Dancers
68,3,47-4011.01,Energy Auditors
68,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
68,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
68,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
68,3,31-9011.00,Massage Therapists
68,4,25-4013.00,Museum Technicians and Conservators
68,3,49-9063.00,Musical Instrument Repairers and Tuners
68,3,19-4051.02,Nuclear Monitoring Technicians
68,3,31-1131.00,Nursing Assistants
68,2,43-5052.00,Postal Service Mail Carriers
68,4,19-4012.01,Precision Agriculture Technicians
68,3,29-2053.00,Psychiatric Technicians
68,4,19-1031.02,Range Managers
68,2,47-2181.00,Roofers
68,2,47-4091.00,Segmental Pavers
68,4,21-1093.00,Social and Human Service Assistants
68,4,17-2199.11,Solar Energy Systems Engineers
68,4,17-2112.02,Validation Engineers
68,4,17-2051.02,Water/Wastewater Engineers
67,3,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
67,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
67,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
67,2,33-9091.00,Crossing Guards and Flaggers
67,2,41-9011.00,Demonstrators and Product Promoters
67,2,47-2081.00,Drywall and Ceiling Tile Installers
67,5,19-1041.00,Epidemiologists
67,2,51-3092.00,Food Batchmakers
67,5,17-2112.01,Human Factors Engineers and Ergonomists
67,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
67,4,13-1081.01,Logistics Engineers
67,4,17-2112.03,Manufacturing Engineers
67,5,19-2032.00,Materials Scientists
67,2,43-4151.00,Order Clerks
67,5,25-1066.00,"Psychology Teachers, Postsecondary"
67,2,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
67,3,39-9041.00,Residential Advisors
67,3,27-4014.00,Sound Engineering Technicians
67,4,27-1014.00,Special Effects Artists and Animators
67,4,11-3071.04,Supply Chain Managers
67,2,35-3031.00,Waiters and Waitresses
