Context,Job Zone,Code,Occupation
76,1,47-2043.00,Floor Sanders and Finishers
76,3,51-8092.00,Gas Plant Operators
76,5,29-9092.00,Genetic Counselors
76,2,47-3013.00,Helpers--Electricians
76,5,19-3032.00,Industrial-Organizational Psychologists
76,4,13-1075.00,Labor Relations Specialists
76,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
76,5,29-1299.02,Orthoptists
76,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
76,2,51-8013.00,Power Plant Operators
76,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
76,4,25-2057.00,"Special Education Teachers, Middle School"
76,2,49-9052.00,Telecommunications Line Installers and Repairers
75,5,11-9041.00,Architectural and Engineering Managers
75,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
75,4,17-2051.00,Civil Engineers
75,1,47-5011.00,"Derrick Operators, Oil and Gas"
75,3,47-2111.00,Electricians
75,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
75,4,13-1071.00,Human Resources Specialists
75,3,27-1026.00,Merchandise Displayers and Window Trimmers
75,2,43-4151.00,Order Clerks
75,2,47-2142.00,Paperhangers
75,3,51-7032.00,"Patternmakers, Wood"
75,3,33-9021.00,Private Detectives and Investigators
75,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
75,4,41-9031.00,Sales Engineers
75,2,47-4091.00,Segmental Pavers
75,3,51-2041.00,Structural Metal Fabricators and Fitters
75,3,51-4111.00,Tool and Die Makers
74,4,13-2011.00,Accountants and Auditors
74,2,49-3021.00,Automotive Body and Related Repairers
74,4,13-2031.00,Budget Analysts
74,2,51-3021.00,Butchers and Meat Cutters
74,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
74,2,43-5011.00,Cargo and Freight Agents
74,5,25-1122.00,"Communications Teachers, Postsecondary"
74,2,43-4021.00,Correspondence Clerks
74,2,43-4051.00,Customer Service Representatives
74,4,11-9161.00,Emergency Management Directors
74,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
74,2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
74,5,23-1012.00,Judicial Law Clerks
74,2,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
74,2,39-9011.01,Nannies
74,3,43-4141.00,New Accounts Clerks
74,3,51-9195.05,"Potters, Manufacturing"
74,4,19-4012.01,Precision Agriculture Technicians
74,5,29-1229.05,Preventive Medicine Physicians
74,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
74,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
74,2,47-2211.00,Sheet Metal Workers
