Importance,Job Zone,Code,Occupation
76,5,19-3092.00,Geographers
76,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
76,5,25-1112.00,"Law Teachers, Postsecondary"
76,4,13-1081.00,Logisticians
76,1,37-2012.00,Maids and Housekeeping Cleaners
76,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
76,3,29-2033.00,Nuclear Medicine Technologists
76,5,29-1222.00,"Physicians, Pathologists"
76,4,11-3061.00,Purchasing Managers
76,4,11-3051.01,Quality Control Systems Managers
76,2,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
76,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
76,2,53-4041.00,Subway and Streetcar Operators
76,5,25-9044.00,"Teaching Assistants, Postsecondary"
76,3,15-1241.01,Telecommunications Engineering Specialists
76,4,17-2112.02,Validation Engineers
76,3,15-1254.00,Web Developers
75,3,17-3027.01,Automotive Engineering Technicians
75,3,33-3011.00,Bailiffs
75,3,27-4012.00,Broadcast Technicians
75,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
75,2,41-2011.00,Cashiers
75,4,19-2031.00,Chemists
75,5,29-1011.00,Chiropractors
75,4,13-2041.00,Credit Analysts
75,5,25-4012.00,Curators
75,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
75,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
75,3,17-3012.00,Electrical and Electronics Drafters
75,3,47-4021.00,Elevator and Escalator Installers and Repairers
75,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
75,3,51-8092.00,Gas Plant Operators
75,5,29-9092.00,Genetic Counselors
75,2,43-4121.00,"Library Assistants, Clerical"
75,2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
75,4,13-2072.00,Loan Officers
75,4,13-1081.01,Logistics Engineers
75,3,31-9011.00,Massage Therapists
75,3,27-1026.00,Merchandise Displayers and Window Trimmers
75,5,19-1022.00,Microbiologists
75,5,19-1029.02,Molecular and Cellular Biologists
75,4,13-1199.06,Online Merchants
75,5,15-2031.00,Operations Research Analysts
75,3,29-2099.05,Ophthalmic Medical Technologists
75,2,43-4151.00,Order Clerks
75,5,29-1299.02,Orthoptists
75,3,29-2052.00,Pharmacy Technicians
75,3,43-5061.00,"Production, Planning, and Expediting Clerks"
75,4,41-9021.00,Real Estate Brokers
75,2,53-7081.00,Refuse and Recyclable Material Collectors
75,4,41-9031.00,Sales Engineers
75,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
75,5,25-1067.00,"Sociology Teachers, Postsecondary"
75,3,51-2041.00,Structural Metal Fabricators and Fitters
75,4,13-1199.05,Sustainability Specialists
75,2,43-3071.00,Tellers
74,5,29-1291.00,Acupuncturists
74,3,53-2022.00,Airfield Operations Specialists
74,2,39-2011.00,Animal Trainers
74,5,11-9041.00,Architectural and Engineering Managers
74,3,49-2091.00,Avionics Technicians
74,4,15-2051.01,Business Intelligence Analysts
74,2,51-9011.00,Chemical Equipment Operators and Tenders
74,4,27-1021.00,Commercial and Industrial Designers
74,3,53-2012.00,Commercial Pilots
74,4,19-1031.00,Conservation Scientists
74,4,11-9021.00,Construction Managers
74,2,35-2014.00,"Cooks, Restaurant"
74,2,43-4021.00,Correspondence Clerks
74,5,29-1021.00,"Dentists, General"
74,3,39-4011.00,Embalmers
74,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
74,4,17-2111.02,Fire-Prevention and Protection Engineers
74,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
74,2,39-3011.00,Gambling Dealers
74,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
74,3,43-4131.00,Loan Interviewers and Clerks
74,2,43-6013.00,Medical Secretaries and Administrative Assistants
74,3,51-8011.00,Nuclear Power Reactor Operators
74,2,47-2141.00,"Painters, Construction and Maintenance"
74,2,43-5051.00,Postal Service Clerks
74,3,51-8012.00,Power Distributors and Dispatchers
74,3,51-5111.00,Prepress Technicians and Workers
74,4,19-4099.03,Remote Sensing Technicians
74,2,41-2031.00,Retail Salespersons
74,2,47-5013.00,"Service Unit Operators, Oil and Gas"
74,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
74,2,49-9052.00,Telecommunications Line Installers and Repairers
74,2,51-2061.00,Timing Device Assemblers and Adjusters
74,3,51-4111.00,Tool and Die Makers
74,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
74,2,35-3031.00,Waiters and Waitresses
74,2,43-9022.00,Word Processors and Typists
73,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
73,5,19-2011.00,Astronomers
73,3,43-4011.00,Brokerage Clerks
73,4,11-9199.02,Compliance Managers
73,3,13-1041.00,Compliance Officers
73,1,53-7011.00,Conveyor Operators and Tenders
73,2,35-2015.00,"Cooks, Short Order"
73,2,39-3092.00,Costume Attendants
73,4,29-2011.01,Cytogenetic Technologists
73,4,15-1299.03,Document Management Specialists
73,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
73,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
73,2,49-9051.00,Electrical Power-Line Installers and Repairers
73,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
73,4,17-3025.00,Environmental Engineering Technologists and Technicians
73,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
73,1,45-4021.00,Fallers
73,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
73,2,39-4021.00,Funeral Attendants
73,2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
73,2,47-3016.00,Helpers--Roofers
73,5,19-3093.00,Historians
73,3,49-9071.00,"Maintenance and Repair Workers, General"
73,3,49-9043.00,"Maintenance Workers, Machinery"
73,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
73,2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
73,3,51-7031.00,"Model Makers, Wood"
73,5,17-2199.09,Nanosystems Engineers
73,2,53-7064.00,"Packers and Packagers, Hand"
73,2,47-2142.00,Paperhangers
73,3,23-2011.00,Paralegals and Legal Assistants
73,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
73,5,25-1054.00,"Physics Teachers, Postsecondary"
73,5,29-1081.00,Podiatrists
73,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
73,2,49-9096.00,Riggers
73,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
73,5,19-3041.00,Sociologists
73,5,19-1013.00,Soil and Plant Scientists
73,4,17-1022.00,Surveyors
73,3,13-2082.00,Tax Preparers
73,2,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
73,3,11-9199.09,Wind Energy Operations Managers
72,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
72,4,17-2031.00,Bioengineers and Biomedical Engineers
72,4,13-2031.00,Budget Analysts
72,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
72,4,17-2041.00,Chemical Engineers
72,2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
72,4,11-3111.00,Compensation and Benefits Managers
72,5,15-1221.00,Computer and Information Research Scientists
72,4,13-1051.00,Cost Estimators
72,4,13-1041.03,Equal Opportunity Representatives and Officers
72,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
72,2,43-4071.00,File Clerks
72,4,13-2061.00,Financial Examiners
72,2,51-3092.00,Food Batchmakers
72,3,45-4011.00,Forest and Conservation Workers
72,2,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
72,1,45-4022.00,Logging Equipment Operators
72,3,49-3052.00,Motorcycle Mechanics
72,4,25-4013.00,Museum Technicians and Conservators
72,3,49-9063.00,Musical Instrument Repairers and Tuners
