Importance,Level,Job Zone,Code,Occupation
75,74,4,11-9021.00,Construction Managers
75,74,4,17-2199.08,Robotics Engineers
75,73,5,19-2043.00,Hydrologists
75,73,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
75,71,5,29-1129.01,Art Therapists
75,71,5,19-1022.00,Microbiologists
75,69,4,21-1021.00,"Child, Family, and School Social Workers"
75,69,3,31-9099.02,Endoscopy Technicians
75,69,5,29-1122.00,Occupational Therapists
75,69,5,29-1123.00,Physical Therapists
75,67,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
75,67,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
75,65,4,21-1094.00,Community Health Workers
75,64,2,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
75,64,2,51-9141.00,Semiconductor Processing Technicians
75,63,3,49-9071.00,"Maintenance and Repair Workers, General"
75,61,3,49-9043.00,"Maintenance Workers, Machinery"
75,61,2,43-4151.00,Order Clerks
75,58,3,35-1011.00,Chefs and Head Cooks
75,58,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
75,52,2,47-4051.00,Highway Maintenance Workers
74,78,5,29-1222.00,"Physicians, Pathologists"
74,75,5,25-1042.00,"Biological Science Teachers, Postsecondary"
74,73,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
74,71,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
74,71,3,29-2099.08,Patient Representatives
74,69,4,17-2021.00,Agricultural Engineers
74,69,4,15-2099.01,Bioinformatics Technicians
74,69,5,29-1051.00,Pharmacists
74,68,2,51-5112.00,Printing Press Operators
74,67,4,11-9161.00,Emergency Management Directors
74,67,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
74,67,4,17-2072.01,Radio Frequency Identification Device Specialists
74,66,3,47-1011.03,Solar Energy Installation Managers
74,65,4,19-1031.00,Conservation Scientists
74,65,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
74,64,2,37-3013.00,Tree Trimmers and Pruners
74,63,5,25-1081.00,"Education Teachers, Postsecondary"
74,63,3,11-9071.00,Gambling Managers
74,62,2,51-9111.00,Packaging and Filling Machine Operators and Tenders
74,62,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
74,55,2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
73,81,5,29-1215.00,Family Medicine Physicians
73,77,5,29-1141.02,Advanced Practice Psychiatric Nurses
