Context,Job Zone,Code,Occupation
72,2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
72,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
72,2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
72,3,33-2021.00,Fire Inspectors and Investigators
72,3,33-2011.00,Firefighters
72,3,19-4071.00,Forest and Conservation Technicians
72,3,47-4041.00,Hazardous Materials Removal Workers
72,4,17-2121.00,Marine Engineers and Naval Architects
72,5,29-1299.01,Naturopathic Physicians
72,2,43-4151.00,Order Clerks
72,2,47-2141.00,"Painters, Construction and Maintenance"
72,2,51-5113.00,Print Binding and Finishing Workers
72,2,51-9141.00,Semiconductor Processing Technicians
72,3,49-9097.00,Signal and Track Switch Repairers
72,2,47-2231.00,Solar Photovoltaic Installers
72,3,41-4011.07,Solar Sales Representatives and Assessors
72,5,29-1229.06,Sports Medicine Physicians
72,2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
72,2,51-6093.00,Upholsterers
71,2,53-3052.00,"Bus Drivers, Transit and Intercity"
71,3,49-9092.00,Commercial Divers
71,4,13-2071.00,Credit Counselors
71,2,41-9011.00,Demonstrators and Product Promoters
71,5,29-1031.00,Dietitians and Nutritionists
71,3,43-4061.00,"Eligibility Interviewers, Government Programs"
71,4,17-2111.02,Fire-Prevention and Protection Engineers
71,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
71,2,51-7021.00,Furniture Finishers
71,2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
71,3,51-8013.04,Hydroelectric Plant Technicians
71,4,17-1012.00,Landscape Architects
71,2,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
71,5,13-1111.00,Management Analysts
71,4,17-2141.00,Mechanical Engineers
71,3,27-2042.00,Musicians and Singers
71,5,29-1161.00,Nurse Midwives
71,4,13-2052.00,Personal Financial Advisors
71,4,19-4099.03,Remote Sensing Technicians
71,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
71,2,51-6051.00,"Sewers, Hand"
71,2,53-4041.00,Subway and Streetcar Operators
71,3,29-2055.00,Surgical Technologists
71,4,17-1022.00,Surveyors
71,2,47-4099.03,Weatherization Installers and Technicians
70,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
70,5,29-1071.01,Anesthesiologist Assistants
70,5,19-1011.00,Animal Scientists
70,5,11-9041.00,Architectural and Engineering Managers
70,3,17-3027.01,Automotive Engineering Technicians
70,4,15-2051.01,Business Intelligence Analysts
70,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
70,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
70,5,25-1052.00,"Chemistry Teachers, Postsecondary"
70,3,51-9162.00,Computer Numerically Controlled Tool Programmers
70,3,13-1041.06,Coroners
70,3,53-7021.00,Crane and Tower Operators
70,5,29-1021.00,"Dentists, General"
70,5,29-1213.00,Dermatologists
70,2,51-2023.00,Electromechanical Equipment Assemblers
70,4,25-2021.00,"Elementary School Teachers, Except Special Education"
70,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
70,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
70,4,21-1091.00,Health Education Specialists
70,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
70,5,25-1125.00,"History Teachers, Postsecondary"
70,4,11-3121.00,Human Resources Managers
70,4,17-2112.00,Industrial Engineers
70,5,25-4022.00,Librarians and Media Collections Specialists
70,2,45-4023.00,Log Graders and Scalers
70,4,17-2199.05,Mechatronics Engineers
70,3,29-2012.00,Medical and Clinical Laboratory Technicians
70,3,31-9092.00,Medical Assistants
70,4,15-1244.00,Network and Computer Systems Administrators
70,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
70,2,31-1133.00,Psychiatric Aides
70,3,19-4099.01,Quality Control Analysts
70,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
70,3,33-3052.00,Transit and Railroad Police
70,4,53-6051.00,Transportation Inspectors
70,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
70,3,49-9064.00,Watch and Clock Repairers
70,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
70,3,11-9199.09,Wind Energy Operations Managers
69,1,47-2051.00,Cement Masons and Concrete Finishers
69,5,25-1122.00,"Communications Teachers, Postsecondary"
69,4,15-1299.08,Computer Systems Engineers/Architects
69,1,51-9031.00,"Cutters and Trimmers, Hand"
69,5,29-2011.02,Cytotechnologists
69,3,29-1292.00,Dental Hygienists
69,3,31-9099.02,Endoscopy Technicians
69,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
69,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
69,5,25-1064.00,"Geography Teachers, Postsecondary"
69,2,49-9031.00,Home Appliance Repairers
69,5,17-2112.01,Human Factors Engineers and Ergonomists
