Context,Job Zone,Code,Occupation
80,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
80,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
80,3,45-4011.00,Forest and Conservation Workers
80,5,19-2032.00,Materials Scientists
80,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
80,3,51-7031.00,"Model Makers, Wood"
80,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
80,3,43-5061.00,"Production, Planning, and Expediting Clerks"
80,5,27-1027.00,Set and Exhibit Designers
80,4,25-2058.00,"Special Education Teachers, Secondary School"
80,4,11-3071.04,Supply Chain Managers
80,5,25-9044.00,"Teaching Assistants, Postsecondary"
80,2,49-9052.00,Telecommunications Line Installers and Repairers
80,4,17-2051.01,Transportation Engineers
80,4,17-2199.10,Wind Energy Engineers
79,4,13-2011.00,Accountants and Auditors
79,4,17-2141.02,Automotive Engineers
79,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
79,4,17-2041.00,Chemical Engineers
79,4,27-2022.00,Coaches and Scouts
79,4,15-1299.08,Computer Systems Engineers/Architects
79,2,39-3092.00,Costume Attendants
79,2,43-5021.00,Couriers and Messengers
79,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
79,3,39-1022.00,First-Line Supervisors of Personal Service Workers
79,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
79,2,11-9051.00,Food Service Managers
79,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
79,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
79,4,21-1091.00,Health Education Specialists
79,5,29-1229.02,Hospitalists
79,3,17-3026.00,Industrial Engineering Technologists and Technicians
79,4,11-9199.08,Loss Prevention Managers
79,4,17-2131.00,Materials Engineers
79,4,27-2012.05,Media Technical Directors/Managers
79,3,49-9062.00,Medical Equipment Repairers
79,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
79,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
79,2,39-9011.01,Nannies
79,5,17-2199.09,Nanosystems Engineers
79,4,15-1244.00,Network and Computer Systems Administrators
79,4,19-5011.00,Occupational Health and Safety Specialists
79,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
79,3,51-7032.00,"Patternmakers, Wood"
79,3,17-3024.01,Robotics Technicians
79,2,51-6051.00,"Sewers, Hand"
79,2,51-6041.00,Shoe and Leather Workers and Repairers
79,4,13-1199.05,Sustainability Specialists
79,3,13-2082.00,Tax Preparers
79,3,33-3052.00,Transit and Railroad Police
79,4,15-1255.01,Video Game Designers
79,4,11-9121.02,Water Resource Specialists
78,3,49-3011.00,Aircraft Mechanics and Service Technicians
78,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
78,5,25-4011.00,Archivists
78,2,43-3021.00,Billing and Posting Clerks
78,4,11-3051.03,Biofuels Production Managers
78,2,51-8013.03,Biomass Plant Technicians
78,5,15-2041.01,Biostatisticians
78,3,43-4011.00,Brokerage Clerks
78,2,47-2031.00,Carpenters
78,4,15-2051.02,Clinical Data Managers
78,4,15-1211.00,Computer Systems Analysts
78,3,29-1292.00,Dental Hygienists
78,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
78,3,33-2011.00,Firefighters
78,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
78,4,27-1024.00,Graphic Designers
78,2,49-9031.00,Home Appliance Repairers
78,5,25-9031.00,Instructional Coordinators
78,2,47-2132.00,"Insulation Workers, Mechanical"
78,4,41-3021.00,Insurance Sales Agents
78,5,11-9111.00,Medical and Health Services Managers
